id_client;nationalite;flag_est_parrain;flag_est_filleul;date_debut_premier_sejour;date_fin_premier_sejour;type_destination_premier_sejour;gamme_premier_sejour;pays_premier_sejour;saison_premier_sejour;canal_reservation_premier_sejour;nb_adultes_premier_sejour;nb_enfants_premier_sejour;date_debut_dernier_sejour;date_fin_dernier_sejour;type_destination_dernier_sejour;gamme_dernier_sejour;pays_dernier_sejour;saison_dernier_sejour;canal_reservation_dernier_sejour;nb_adultes_dernier_sejour;nb_enfants_dernier_sejour;nb_sejours_2021;nb_sejours_2022;nb_sejours_2023;mt_sejours_2021;mt_sejours_2022;mt_sejours_2023;duree_sejours_2021;duree_sejours_2022;duree_sejours_2023;nb_participants_sejours_2021;nb_participants_sejours_2022;nb_participants_sejours_2023;mt_extras_sejours_2021;mt_extras_sejours_2022;mt_extras_sejours_2023;nb_residences_distinctes;duree_sejour_moyen;liste_extras
ID_26525332582661;France;0;0;11/03/2022;18/03/2022;Montagne;3;France;Hiver;Web;2;;11/03/2022;18/03/2022;Montagne;3;France;Hiver;Web;2;;0;1;0;0;2095;0;0;7;0;0;2;0;0;20;0;1;7;Services
ID_26532732179665;France;0;0;08/07/2021;10/07/2021;Soleil;3;France;Eté;Indirect;1;;08/07/2021;10/07/2021;Soleil;3;France;Eté;Indirect;1;;1;0;0;301;0;0;2;0;0;1;0;0;0;0;0;1;;
ID_26538832334012;France;0;1;12/10/2022;30/10/2022;Soleil;4;China;Eté;Agence;1;1;12/10/2022;30/10/2022;Soleil;4;China;Eté;Agence;1;1;0;1;0;0;4938;0;0;18;0;0;2;0;0;690;0;1;18;Services|Boutique
ID_26539532976511;France;0;0;01/03/2023;08/03/2023;Soleil;4;Mauritius Islands;Hiver;Agence;1;;01/03/2023;08/03/2023;Soleil;4;Mauritius Islands;Hiver;Agence;1;;0;0;1;0;0;3712;0;0;7;0;0;1;0;0;0;1;7;
ID_26542632647821;France;0;0;03/07/2021;09/07/2021;Soleil;4;France;Eté;Agence;2;2;03/07/2021;09/07/2021;Soleil;4;France;Eté;Agence;2;2;1;0;0;2325;0;0;6;0;0;4;0;0;280;0;0;1;6;Enfants
ID_26545332427081;France;0;0;21/09/2021;28/09/2021;Soleil;3;Italy;Eté;Agence;1;1;21/09/2021;28/09/2021;Soleil;3;Italy;Eté;Agence;1;1;1;0;0;1826;0;0;7;0;0;2;0;0;135;0;0;1;7;Services|Excursion|Boutique
ID_26563732129053;France;0;0;20/08/2021;27/08/2021;Soleil;3;France;Eté;Agence;1;;20/08/2021;27/08/2021;Soleil;3;France;Eté;Agence;1;;1;0;0;1204;0;0;7;0;0;1;0;0;0;0;0;1;7;
ID_26565932146485;France;0;0;13/08/2022;20/08/2022;Montagne;4;Switzerland;Eté;;2;;13/08/2022;20/08/2022;Montagne;4;Switzerland;Eté;Agence;2;;0;1;0;0;1461;0;0;7;0;0;2;0;0;0;0;1;7;
ID_26574532308034;France;0;0;17/06/2023;24/06/2023;Soleil;3;France;Hiver;Agence;1;1;11/11/2023;18/11/2023;Soleil;3;France;Eté;Agence;1;;0;0;2;0;0;3158;0;0;14;0;0;3;0;0;0;1;7;
ID_26575032463922;France;0;0;08/05/2021;15/05/2021;Montagne;4;Switzerland;Hiver;Agence;2;1;08/05/2021;15/05/2021;Montagne;4;Switzerland;Hiver;Agence;2;1;1;0;0;2557;0;0;7;0;0;3;0;0;528;0;0;1;7;Services|Sports|Excursion
ID_26576232920080;France;0;0;06/07/2022;13/07/2022;Soleil;4;Portugal;Eté;Web;2;;06/07/2022;13/07/2022;Soleil;4;Portugal;Eté;Web;2;;0;1;0;0;1820;0;0;7;0;0;2;0;0;99;0;1;7;Boutique
ID_26580132813468;France;0;0;21/03/2023;24/03/2023;Montagne;3;France;Hiver;Indirect;1;;21/03/2023;24/03/2023;Montagne;3;France;Hiver;Indirect;1;;0;0;1;0;0;717;0;0;3;0;0;1;0;0;53;1;3;Bien-être|Services
ID_26584632204203;France;0;0;20/10/2022;29/10/2022;Soleil;3;France;Eté;Agence;2;2;20/10/2022;29/10/2022;Soleil;3;France;Eté;Agence;2;2;0;1;0;0;4048;0;0;9;0;0;4;0;0;0;0;1;9;
ID_26586432597604;France;0;1;05/07/2023;08/07/2023;Soleil;3;France;Eté;Indirect;2;3;05/07/2023;08/07/2023;Soleil;3;France;Eté;Indirect;2;3;0;0;1;0;0;2053;0;0;3;0;0;5;0;0;0;1;3;
ID_26593732521444;France;0;0;18/09/2022;25/09/2022;Soleil;3;Morocco;Eté;Web;2;;18/09/2022;25/09/2022;Soleil;3;Morocco;Eté;Web;2;;0;1;0;0;3129;0;0;7;0;0;2;0;0;415;0;1;7;Boutique|Bien-être
ID_26595832496438;France;0;0;17/01/2022;24/01/2022;Soleil;3;Tunisia;Hiver;Indirect;1;;17/01/2022;24/01/2022;Soleil;3;Tunisia;Hiver;Indirect;1;;0;1;0;0;833;0;0;7;0;0;1;0;0;0;0;1;7;
ID_26603532627900;France;0;0;02/02/2021;13/02/2021;Soleil;4;Mexico;Hiver;Agence;2;;10/12/2021;17/12/2021;Soleil;4;Morocco;Eté;Agence;2;;2;0;0;7810;0;0;18;0;0;4;0;0;770;0;0;2;9;Bien-être|Sports|Boutique|Services|Restauration
ID_26613232300513;France;0;1;25/07/2023;01/08/2023;Soleil;4;Dominican Republic;Eté;Indirect;1;;25/07/2023;01/08/2023;Soleil;4;Dominican Republic;Eté;Indirect;1;;0;0;1;0;0;1503;0;0;7;0;0;1;0;0;138;1;7;Boutique|Services
ID_26613432234957;France;0;0;28/04/2023;06/05/2023;Montagne;3;Switzerland;Hiver;Agence;1;1;28/04/2023;06/05/2023;Montagne;3;Switzerland;Hiver;Agence;1;1;0;0;1;0;0;3124;0;0;7;0;0;2;0;0;0;1;7;
ID_26617432112214;France;0;0;13/12/2023;17/12/2023;Soleil;4;Mauritius Islands;Eté;Agence;2;;13/12/2023;17/12/2023;Soleil;4;Mauritius Islands;Eté;Agence;2;;0;0;1;0;0;1277;0;0;4;0;0;2;0;0;0;1;4;
ID_26619032652608;France;0;0;29/12/2021;06/01/2022;Soleil;4;Bahamas;Eté;Call Center;1;;01/03/2022;07/03/2022;Soleil;4;Bahamas;Hiver;Agence;1;;1;1;0;1795;573;0;7;6;0;1;1;0;154;1029;0;1;7;Bien-être|Services|Restauration|Boutique|Sports
ID_26621232133710;France;0;0;22/03/2023;24/03/2023;Montagne;4;France;Hiver;Web;2;;22/03/2023;24/03/2023;Montagne;4;France;Hiver;Web;2;;0;0;1;0;0;1307;0;0;2;0;0;2;0;0;225;1;2;Restauration|Sports
